sex,age,statebrn,placebrn,marstat,edyrs,occ,usyrl,usdurl,usdocl,usstatel,usplacel,usoccl,usbyl,ustrips,reltrip,paistrip,sport,social,chicanos,blacks,anglos,latinos,lodging,english,finhelp,bankacct,remit1,remit2,remit3,remit4,remit5,savings1,savings2,savings3,savings4,savings5,schools,unemp,foodst,welfare,doctor,hospital,uswagel_adj_2019,rent_adj_2019,food_adj_2019,remit_adj_2019,savings_adj_2019,savretrn_adj_2019
1.0,30.0,14.0,8.0,2.0,4.0,720.0,1980.0,6.0,8.0,105.0,7400.0,410.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,0.0,4.0,2.0,11.0,8888.0,8888.0,8888.0,8888.0,12.0,8888.0,8888.0,8888.0,8888.0,2.0,2.0,2.0,2.0,2.0,2.0,11.663184306569343,172.50809716599193,268.4062992125984,310.2633495145631,70.14590605502156,3102.633495145631
1.0,66.0,14.0,109.0,2.0,0.0,529.0,1944.0,24.0,2.0,105.0,7360.0,529.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,11.0,8888.0,8888.0,8888.0,8888.0,15.0,8888.0,8888.0,8888.0,8888.0,2.0,2.0,2.0,2.0,2.0,2.0,11.663184306569343,0.0,268.4062992125984,325.8852772466539,70.14590605502156,675.1505281690141
1.0,59.0,11.0,20.0,2.0,0.0,410.0,1968.0,240.0,1.0,199.0,4480.0,410.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,4.0,2.0,11.0,8888.0,8888.0,8888.0,8888.0,11.0,8888.0,8888.0,8888.0,8888.0,2.0,2.0,2.0,2.0,2.0,2.0,51.42525862068966,172.50809716599193,268.4062992125984,325.8852772466539,70.14590605502156,675.1505281690141
1.0,74.0,11.0,0.0,2.0,0.0,720.0,1945.0,12.0,2.0,103.0,4480.0,410.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,0.0,1.0,2.0,11.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,2.0,2.0,2.0,2.0,2.0,2.0,6.391425000000001,0.0,0.0,325.8852772466539,0.0,0.0
1.0,73.0,11.0,0.0,2.0,0.0,830.0,1956.0,6.0,2.0,104.0,4480.0,410.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,0.0,4.0,2.0,11.0,8888.0,8888.0,8888.0,8888.0,8.0,8888.0,8888.0,8888.0,8888.0,2.0,2.0,2.0,2.0,2.0,2.0,18.79830882352941,0.0,422.9619485294118,281.9746323529412,0.0,939.9154411764706
1.0,32.0,11.0,0.0,2.0,3.0,529.0,1986.0,8.0,8.0,105.0,8735.0,410.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,0.0,2.0,2.0,8.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,2.0,2.0,2.0,2.0,2.0,2.0,11.663184306569343,0.0,0.0,116.63184306569345,23.32636861313869,0.0
1.0,70.0,11.0,0.0,2.0,4.0,549.0,1975.0,156.0,8.0,114.0,1600.0,549.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,11.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,2.0,2.0,2.0,2.0,2.0,2.0,11.663184306569343,1425.5966542750932,268.4062992125984,1425.5966542750932,0.0,0.0
1.0,55.0,11.0,0.0,2.0,6.0,719.0,1977.0,6.0,8.0,106.0,2080.0,410.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,4.0,2.0,11.0,8888.0,8888.0,8888.0,8888.0,2.0,11.0,9.0,8888.0,8888.0,2.0,2.0,2.0,2.0,2.0,2.0,6.328143564356435,0.0,84.37524752475248,210.9381188118812,1265.6287128712872,675.1505281690141
1.0,58.0,11.0,0.0,2.0,2.0,549.0,1975.0,12.0,8.0,105.0,4480.0,410.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,0.0,2.0,2.0,11.0,8888.0,8888.0,8888.0,8888.0,8.0,8888.0,8888.0,8888.0,8888.0,2.0,2.0,2.0,2.0,2.0,2.0,11.663184306569343,0.0,0.0,325.8852772466539,70.14590605502156,675.1505281690141
1.0,42.0,11.0,0.0,2.0,6.0,559.0,1978.0,6.0,8.0,105.0,7320.0,549.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,11.0,8888.0,8888.0,8888.0,8888.0,11.0,8888.0,8888.0,8888.0,8888.0,2.0,2.0,2.0,2.0,2.0,2.0,11.663184306569343,172.50809716599193,268.4062992125984,325.8852772466539,70.14590605502156,675.1505281690141
