Classifier,training_s,testing_s
15-NN,0.0018472671508789062,0.10067009925842285
Naïve Bayes,0.04545426368713379,0.009315967559814453
Decision Tree,0.11676406860351562,0.003196239471435547
Random Forest,0.17111492156982422,0.015165090560913086
GBM,17.43923306465149,0.019699573516845703
MLP,1.4126181602478027,0.0009405612945556641
RBF SVM,0.49773669242858887,0.13284921646118164
Logistic Regression,0.009958028793334961,0.0004532337188720703
