Classifier,training_s,testing_s
7-NN,0.0022382736206054688,0.12675976753234863
Naïve Bayes,0.038236141204833984,0.01606464385986328
Decision Tree,0.07799410820007324,0.0035800933837890625
Random Forest,0.24054574966430664,0.025815725326538086
GBM,12.414339065551758,0.01808333396911621
MLP,0.9511044025421143,0.0010085105895996094
RBF SVM,0.27178311347961426,0.12990164756774902
Logistic Regression,0.006164073944091797,0.0004999637603759766
