Classifier,Train_sizes,Train_scores,Validation_scores
Naïve Bayes,816,"[0.6115196078431373, 0.6213235294117647, 0.5857843137254902, 0.6090686274509803, 0.6115196078431373, 0.625, 0.6274509803921569, 0.6237745098039216, 0.6102941176470589, 0.6127450980392157]","[0.5769230769230769, 0.6043956043956044, 0.5439560439560439, 0.6208791208791209, 0.574585635359116, 0.5524861878453039, 0.56353591160221, 0.580110497237569, 0.6132596685082873, 0.6077348066298343]"
Naïve Bayes,979,"[0.6016343207354443, 0.6087844739530133, 0.5842696629213483, 0.609805924412666, 0.616956077630235, 0.6200204290091931, 0.6128702757916241, 0.6128702757916241, 0.6087844739530133, 0.6067415730337079]","[0.5934065934065934, 0.5989010989010989, 0.5494505494505495, 0.6153846153846154, 0.574585635359116, 0.5524861878453039, 0.56353591160221, 0.580110497237569, 0.6077348066298343, 0.6187845303867403]"
Naïve Bayes,1142,"[0.6077057793345009, 0.6059544658493871, 0.5849387040280211, 0.6085814360770578, 0.6164623467600701, 0.6164623467600701, 0.6077057793345009, 0.6077057793345009, 0.6077057793345009, 0.6085814360770578]","[0.6043956043956044, 0.5934065934065934, 0.5494505494505495, 0.6153846153846154, 0.5580110497237569, 0.5580110497237569, 0.5911602209944752, 0.574585635359116, 0.5911602209944752, 0.5911602209944752]"
Naïve Bayes,1305,"[0.6061302681992338, 0.6053639846743295, 0.5808429118773947, 0.6076628352490422, 0.6122605363984674, 0.6130268199233716, 0.6122605363984674, 0.6068965517241379, 0.6022988505747127, 0.6084291187739463]","[0.6263736263736264, 0.6153846153846154, 0.554945054945055, 0.6098901098901099, 0.580110497237569, 0.5580110497237569, 0.5911602209944752, 0.5911602209944752, 0.6022099447513812, 0.5966850828729282]"
Naïve Bayes,1468,"[0.6028610354223434, 0.5960490463215259, 0.5722070844686649, 0.6021798365122616, 0.6042234332425068, 0.6055858310626703, 0.6055858310626703, 0.6028610354223434, 0.6001362397820164, 0.5987738419618529]","[0.6153846153846154, 0.6098901098901099, 0.5494505494505495, 0.6153846153846154, 0.574585635359116, 0.5524861878453039, 0.56353591160221, 0.5966850828729282, 0.5966850828729282, 0.6022099447513812]"
Decision Tree,81,"[0.7160493827160493, 0.7283950617283951, 0.7160493827160493, 0.6790123456790124, 0.7283950617283951, 0.7407407407407407, 0.691358024691358, 0.691358024691358, 0.6790123456790124, 0.7037037037037037]","[0.554945054945055, 0.5604395604395604, 0.6538461538461539, 0.554945054945055, 0.56353591160221, 0.5580110497237569, 0.5082872928176796, 0.5193370165745856, 0.5193370165745856, 0.4972375690607735]"
Decision Tree,163,"[0.6993865030674846, 0.7239263803680982, 0.7361963190184049, 0.6871165644171779, 0.6993865030674846, 0.7055214723926381, 0.7239263803680982, 0.7484662576687117, 0.7239263803680982, 0.6871165644171779]","[0.5659340659340659, 0.554945054945055, 0.6043956043956044, 0.6043956043956044, 0.5414364640883977, 0.5359116022099447, 0.5524861878453039, 0.5524861878453039, 0.5359116022099447, 0.5414364640883977]"
Decision Tree,326,"[0.6993865030674846, 0.6901840490797546, 0.7147239263803681, 0.6901840490797546, 0.7055214723926381, 0.7147239263803681, 0.7177914110429447, 0.7239263803680982, 0.7024539877300614, 0.7055214723926381]","[0.6593406593406593, 0.5604395604395604, 0.5879120879120879, 0.5824175824175825, 0.5469613259668509, 0.6022099447513812, 0.6519337016574586, 0.585635359116022, 0.6353591160220995, 0.6298342541436464]"
Decision Tree,489,"[0.7239263803680982, 0.7300613496932515, 0.7157464212678937, 0.7239263803680982, 0.7198364008179959, 0.6993865030674846, 0.7382413087934561, 0.721881390593047, 0.7177914110429447, 0.7177914110429447]","[0.6208791208791209, 0.5494505494505495, 0.5989010989010989, 0.5879120879120879, 0.6574585635359116, 0.5469613259668509, 0.585635359116022, 0.56353591160221, 0.6022099447513812, 0.585635359116022]"
Decision Tree,652,"[0.6978527607361963, 0.7269938650306749, 0.7024539877300614, 0.7131901840490797, 0.6886503067484663, 0.7254601226993865, 0.7346625766871165, 0.7131901840490797, 0.7269938650306749, 0.7162576687116564]","[0.6208791208791209, 0.6868131868131868, 0.5824175824175825, 0.532967032967033, 0.6132596685082873, 0.5911602209944752, 0.5911602209944752, 0.585635359116022, 0.5580110497237569, 0.5359116022099447]"
Decision Tree,816,"[0.6924019607843137, 0.6752450980392157, 0.7095588235294118, 0.7107843137254902, 0.7009803921568627, 0.7071078431372549, 0.6850490196078431, 0.7144607843137255, 0.6850490196078431, 0.7132352941176471]","[0.6703296703296703, 0.5824175824175825, 0.5494505494505495, 0.5494505494505495, 0.569060773480663, 0.6077348066298343, 0.6077348066298343, 0.5469613259668509, 0.580110497237569, 0.5303867403314917]"
Decision Tree,979,"[0.7088866189989785, 0.7139938712972421, 0.6986721144024515, 0.7099080694586313, 0.7027579162410623, 0.7211440245148111, 0.7058222676200204, 0.7099080694586313, 0.686414708886619, 0.7017364657814096]","[0.6043956043956044, 0.5824175824175825, 0.5934065934065934, 0.5659340659340659, 0.6187845303867403, 0.574585635359116, 0.5414364640883977, 0.6629834254143646, 0.5469613259668509, 0.574585635359116]"
Decision Tree,1142,"[0.7171628721541156, 0.7005253940455342, 0.7014010507880911, 0.7136602451838879, 0.7092819614711033, 0.712784588441331, 0.7066549912434326, 0.7162872154115587, 0.7049036777583187, 0.7066549912434326]","[0.6758241758241759, 0.6208791208791209, 0.5934065934065934, 0.5714285714285714, 0.6464088397790055, 0.580110497237569, 0.569060773480663, 0.5966850828729282, 0.580110497237569, 0.569060773480663]"
Decision Tree,1305,"[0.7003831417624521, 0.7210727969348659, 0.7111111111111111, 0.7157088122605364, 0.7080459770114943, 0.7080459770114943, 0.7149425287356321, 0.7187739463601532, 0.7088122605363985, 0.7057471264367816]","[0.6538461538461539, 0.5164835164835165, 0.6208791208791209, 0.6208791208791209, 0.6574585635359116, 0.56353591160221, 0.5469613259668509, 0.6298342541436464, 0.6187845303867403, 0.5911602209944752]"
Decision Tree,1468,"[0.7111716621253406, 0.7138964577656676, 0.7064032697547684, 0.7077656675749319, 0.7043596730245232, 0.7111716621253406, 0.7029972752043597, 0.6900544959128065, 0.6989100817438693, 0.7118528610354223]","[0.6703296703296703, 0.5879120879120879, 0.6318681318681318, 0.6483516483516484, 0.6850828729281768, 0.6077348066298343, 0.580110497237569, 0.6077348066298343, 0.6132596685082873, 0.6740331491712708]"
Random Forest,81,"[0.7530864197530864, 0.691358024691358, 0.7283950617283951, 0.5679012345679012, 0.7160493827160493, 0.6790123456790124, 0.7407407407407407, 0.5802469135802469, 0.7283950617283951, 0.7160493827160493]","[0.4835164835164835, 0.5989010989010989, 0.5769230769230769, 0.5, 0.5414364640883977, 0.5248618784530387, 0.569060773480663, 0.5082872928176796, 0.5580110497237569, 0.5082872928176796]"
Random Forest,163,"[0.6809815950920245, 0.6871165644171779, 0.6809815950920245, 0.6257668711656442, 0.6687116564417178, 0.7055214723926381, 0.6809815950920245, 0.7239263803680982, 0.6932515337423313, 0.6809815950920245]","[0.5934065934065934, 0.5934065934065934, 0.6428571428571429, 0.5054945054945055, 0.56353591160221, 0.5359116022099447, 0.574585635359116, 0.5359116022099447, 0.6132596685082873, 0.56353591160221]"
Random Forest,326,"[0.7116564417177914, 0.7116564417177914, 0.7085889570552147, 0.7024539877300614, 0.7208588957055214, 0.7300613496932515, 0.7024539877300614, 0.7392638036809815, 0.7208588957055214, 0.7116564417177914]","[0.6593406593406593, 0.6153846153846154, 0.6208791208791209, 0.6098901098901099, 0.6187845303867403, 0.5580110497237569, 0.6243093922651933, 0.5580110497237569, 0.6353591160220995, 0.585635359116022]"
Random Forest,489,"[0.7259713701431493, 0.7198364008179959, 0.7014314928425358, 0.7198364008179959, 0.7034764826175869, 0.7239263803680982, 0.7116564417177914, 0.7402862985685071, 0.7361963190184049, 0.7177914110429447]","[0.6208791208791209, 0.6318681318681318, 0.6153846153846154, 0.6098901098901099, 0.6408839779005525, 0.569060773480663, 0.6243093922651933, 0.5469613259668509, 0.6187845303867403, 0.6243093922651933]"
Random Forest,652,"[0.7285276073619632, 0.7254601226993865, 0.7254601226993865, 0.7116564417177914, 0.7147239263803681, 0.7239263803680982, 0.7193251533742331, 0.7193251533742331, 0.7101226993865031, 0.7300613496932515]","[0.6263736263736264, 0.6428571428571429, 0.6538461538461539, 0.6208791208791209, 0.6187845303867403, 0.580110497237569, 0.6187845303867403, 0.5248618784530387, 0.6132596685082873, 0.6408839779005525]"
Random Forest,816,"[0.7230392156862745, 0.7169117647058824, 0.7132352941176471, 0.7107843137254902, 0.7218137254901961, 0.7218137254901961, 0.7169117647058824, 0.7218137254901961, 0.7144607843137255, 0.7156862745098039]","[0.5989010989010989, 0.6098901098901099, 0.6428571428571429, 0.5934065934065934, 0.6353591160220995, 0.56353591160221, 0.6077348066298343, 0.5469613259668509, 0.6353591160220995, 0.6353591160220995]"
Random Forest,979,"[0.710929519918284, 0.7129724208375894, 0.7078651685393258, 0.7078651685393258, 0.6956077630234934, 0.7068437180796732, 0.7078651685393258, 0.7231869254341164, 0.6976506639427987, 0.7119509703779366]","[0.6593406593406593, 0.6318681318681318, 0.6813186813186813, 0.6593406593406593, 0.6353591160220995, 0.5303867403314917, 0.6298342541436464, 0.56353591160221, 0.6685082872928176, 0.6077348066298343]"
Random Forest,1142,"[0.7084063047285464, 0.7092819614711033, 0.7031523642732049, 0.7031523642732049, 0.6987740805604203, 0.7119089316987741, 0.7075306479859895, 0.7145359019264448, 0.6978984238178634, 0.6987740805604203]","[0.6098901098901099, 0.6098901098901099, 0.6868131868131868, 0.6483516483516484, 0.6132596685082873, 0.5524861878453039, 0.6187845303867403, 0.5303867403314917, 0.6408839779005525, 0.6243093922651933]"
Random Forest,1305,"[0.7080459770114943, 0.7118773946360153, 0.7019157088122605, 0.7034482758620689, 0.6850574712643678, 0.7103448275862069, 0.7057471264367816, 0.7049808429118773, 0.6980842911877395, 0.7003831417624521]","[0.6373626373626373, 0.6043956043956044, 0.6593406593406593, 0.6483516483516484, 0.6243093922651933, 0.5580110497237569, 0.6187845303867403, 0.56353591160221, 0.6464088397790055, 0.6187845303867403]"
Random Forest,1468,"[0.7098092643051771, 0.6995912806539509, 0.7043596730245232, 0.696866485013624, 0.6995912806539509, 0.7091280653950953, 0.7009536784741145, 0.7132152588555858, 0.7064032697547684, 0.7043596730245232]","[0.6483516483516484, 0.6098901098901099, 0.6593406593406593, 0.6593406593406593, 0.6795580110497238, 0.5469613259668509, 0.6629834254143646, 0.569060773480663, 0.6464088397790055, 0.6353591160220995]"
GBM,81,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.5769230769230769, 0.5659340659340659, 0.5714285714285714, 0.5439560439560439, 0.580110497237569, 0.56353591160221, 0.585635359116022, 0.5524861878453039, 0.5580110497237569, 0.56353591160221]"
GBM,163,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.5769230769230769, 0.5054945054945055, 0.532967032967033, 0.532967032967033, 0.5138121546961326, 0.5138121546961326, 0.6077348066298343, 0.5193370165745856, 0.574585635359116, 0.5524861878453039]"
GBM,326,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.6428571428571429, 0.6043956043956044, 0.5879120879120879, 0.5989010989010989, 0.6298342541436464, 0.56353591160221, 0.5911602209944752, 0.6187845303867403, 0.5580110497237569, 0.5524861878453039]"
GBM,489,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.6318681318681318, 0.5989010989010989, 0.6043956043956044, 0.6538461538461539, 0.6243093922651933, 0.5524861878453039, 0.5911602209944752, 0.580110497237569, 0.5248618784530387, 0.5966850828729282]"
GBM,652,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.6208791208791209, 0.5769230769230769, 0.6153846153846154, 0.6043956043956044, 0.6629834254143646, 0.5911602209944752, 0.6077348066298343, 0.5911602209944752, 0.5911602209944752, 0.569060773480663]"
GBM,816,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.6538461538461539, 0.5769230769230769, 0.5989010989010989, 0.6153846153846154, 0.6408839779005525, 0.56353591160221, 0.6408839779005525, 0.6022099447513812, 0.569060773480663, 0.56353591160221]"
GBM,979,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.6428571428571429, 0.5989010989010989, 0.6098901098901099, 0.5769230769230769, 0.6353591160220995, 0.5303867403314917, 0.6187845303867403, 0.6022099447513812, 0.580110497237569, 0.5524861878453039]"
GBM,1142,"[0.9982486865148862, 1.0, 1.0, 1.0, 0.999124343257443, 1.0, 1.0, 0.9982486865148862, 1.0, 0.9964973730297724]","[0.6813186813186813, 0.554945054945055, 0.6043956043956044, 0.6263736263736264, 0.6298342541436464, 0.5303867403314917, 0.6243093922651933, 0.580110497237569, 0.6243093922651933, 0.5193370165745856]"
GBM,1305,"[0.9984674329501916, 0.9984674329501916, 0.9992337164750957, 0.9977011494252873, 0.9961685823754789, 0.9984674329501916, 0.9977011494252873, 0.9969348659003832, 0.9984674329501916, 0.9969348659003832]","[0.6923076923076923, 0.5659340659340659, 0.6153846153846154, 0.6318681318681318, 0.6574585635359116, 0.5414364640883977, 0.6298342541436464, 0.6077348066298343, 0.6353591160220995, 0.56353591160221]"
GBM,1468,"[0.997275204359673, 0.9945504087193461, 0.9959128065395095, 0.997275204359673, 0.9938692098092643, 0.9965940054495913, 0.9952316076294278, 0.9952316076294278, 0.9945504087193461, 0.9952316076294278]","[0.6593406593406593, 0.6043956043956044, 0.6043956043956044, 0.6263736263736264, 0.6408839779005525, 0.580110497237569, 0.6022099447513812, 0.6077348066298343, 0.6519337016574586, 0.5414364640883977]"
MLP,81,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9876543209876543, 1.0, 1.0, 1.0]","[0.5769230769230769, 0.5274725274725275, 0.5659340659340659, 0.5714285714285714, 0.5911602209944752, 0.46408839779005523, 0.5303867403314917, 0.6022099447513812, 0.5414364640883977, 0.5469613259668509]"
MLP,163,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.6043956043956044, 0.5824175824175825, 0.5714285714285714, 0.5769230769230769, 0.5414364640883977, 0.5303867403314917, 0.5193370165745856, 0.5193370165745856, 0.585635359116022, 0.5524861878453039]"
MLP,326,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.532967032967033, 0.5604395604395604, 0.5714285714285714, 0.5879120879120879, 0.5469613259668509, 0.569060773480663, 0.5359116022099447, 0.5469613259668509, 0.6132596685082873, 0.574585635359116]"
MLP,489,"[0.9979550102249489, 0.9959100204498977, 0.9979550102249489, 0.9979550102249489, 0.9979550102249489, 0.9959100204498977, 0.9979550102249489, 0.9979550102249489, 0.9938650306748467, 1.0]","[0.5934065934065934, 0.510989010989011, 0.5494505494505495, 0.5274725274725275, 0.5082872928176796, 0.5966850828729282, 0.5359116022099447, 0.6077348066298343, 0.5966850828729282, 0.6243093922651933]"
MLP,652,"[0.9693251533742331, 0.9616564417177914, 0.9447852760736196, 0.9769938650306749, 0.9831288343558282, 0.9662576687116564, 0.9555214723926381, 0.9708588957055214, 0.9570552147239264, 0.9815950920245399]","[0.5384615384615384, 0.5384615384615384, 0.5439560439560439, 0.5714285714285714, 0.5414364640883977, 0.574585635359116, 0.585635359116022, 0.5359116022099447, 0.6077348066298343, 0.6298342541436464]"
MLP,816,"[0.6507352941176471, 0.6654411764705882, 0.6409313725490197, 0.6446078431372549, 0.6580882352941176, 0.6752450980392157, 0.6482843137254902, 0.6568627450980392, 0.6446078431372549, 0.6691176470588235]","[0.6648351648351648, 0.5879120879120879, 0.6208791208791209, 0.6263736263736264, 0.5911602209944752, 0.5359116022099447, 0.6077348066298343, 0.5966850828729282, 0.6353591160220995, 0.6243093922651933]"
MLP,979,"[0.9775280898876404, 0.9376915219611849, 0.9775280898876404, 0.9673135852911133, 0.9713993871297242, 0.965270684371808, 0.9683350357507661, 0.9816138917262512, 0.9867211440245148, 0.9744637385086823]","[0.5439560439560439, 0.5824175824175825, 0.5934065934065934, 0.510989010989011, 0.5359116022099447, 0.585635359116022, 0.5524861878453039, 0.5082872928176796, 0.574585635359116, 0.569060773480663]"
MLP,1142,"[0.9527145359019265, 0.9588441330998249, 0.9518388791593695, 0.9474605954465849, 0.9535901926444834, 0.9597197898423818, 0.9588441330998249, 0.967600700525394, 0.9492119089316988, 0.9194395796847635]","[0.5659340659340659, 0.5879120879120879, 0.5934065934065934, 0.5439560439560439, 0.5082872928176796, 0.5414364640883977, 0.574585635359116, 0.5138121546961326, 0.5248618784530387, 0.585635359116022]"
MLP,1305,"[0.9540229885057471, 0.9379310344827586, 0.9226053639846743, 0.9141762452107279, 0.9448275862068966, 0.878927203065134, 0.864367816091954, 0.9233716475095786, 0.9302681992337165, 0.9325670498084291]","[0.5439560439560439, 0.5659340659340659, 0.5714285714285714, 0.5439560439560439, 0.5414364640883977, 0.5469613259668509, 0.5359116022099447, 0.5082872928176796, 0.580110497237569, 0.5359116022099447]"
MLP,1468,"[0.8351498637602179, 0.7990463215258855, 0.8630790190735694, 0.8692098092643051, 0.8235694822888283, 0.8528610354223434, 0.8208446866485014, 0.8140326975476839, 0.8303814713896458, 0.8698910081743869]","[0.5714285714285714, 0.5494505494505495, 0.532967032967033, 0.5659340659340659, 0.4972375690607735, 0.5524861878453039, 0.5414364640883977, 0.5303867403314917, 0.6022099447513812, 0.5524861878453039]"
RBF SVM,81,"[0.7777777777777778, 0.7530864197530864, 0.7777777777777778, 0.6666666666666666, 0.7407407407407407, 0.7160493827160493, 0.7654320987654321, 0.7283950617283951, 0.7407407407407407, 0.7654320987654321]","[0.5934065934065934, 0.532967032967033, 0.6318681318681318, 0.532967032967033, 0.5966850828729282, 0.5193370165745856, 0.5248618784530387, 0.56353591160221, 0.574585635359116, 0.574585635359116]"
RBF SVM,163,"[0.6625766871165644, 0.6871165644171779, 0.6687116564417178, 0.6380368098159509, 0.6748466257668712, 0.6196319018404908, 0.6687116564417178, 0.6441717791411042, 0.656441717791411, 0.656441717791411]","[0.6043956043956044, 0.5769230769230769, 0.5714285714285714, 0.5659340659340659, 0.5580110497237569, 0.5359116022099447, 0.5414364640883977, 0.5911602209944752, 0.6132596685082873, 0.6077348066298343]"
RBF SVM,326,"[0.6503067484662577, 0.656441717791411, 0.6625766871165644, 0.6625766871165644, 0.6656441717791411, 0.6717791411042945, 0.6840490797546013, 0.6717791411042945, 0.6656441717791411, 0.6533742331288344]","[0.6208791208791209, 0.5934065934065934, 0.5934065934065934, 0.6098901098901099, 0.585635359116022, 0.569060773480663, 0.5469613259668509, 0.5966850828729282, 0.6298342541436464, 0.6187845303867403]"
RBF SVM,489,"[0.6687116564417178, 0.6666666666666666, 0.6707566462167689, 0.6768916155419223, 0.6789366053169734, 0.6768916155419223, 0.6809815950920245, 0.6748466257668712, 0.6871165644171779, 0.6952965235173824]","[0.6318681318681318, 0.6043956043956044, 0.5989010989010989, 0.6098901098901099, 0.585635359116022, 0.5524861878453039, 0.5414364640883977, 0.580110497237569, 0.6353591160220995, 0.6353591160220995]"
