Classifier,Train_sizes,Train_scores,Validation_scores
Naïve Bayes,3083,"[0.6115936430864208, 0.6227043339853536, 0.6204383922772723, 0.6157813024625755, 0.6071262998026945, 0.6199561470655762, 0.6184630794043257, 0.6262288761223617, 0.6215243791353732, 0.6223308985431731]","[0.5043909841352423, 0.5106511370840099, 0.48733574297422133, 0.48090892396787915, 0.5425889251670568, 0.5565025512005255, 0.5787002222288427, 0.5309799902739106, 0.5439606823212004, 0.571910266912119]"
Naïve Bayes,3699,"[0.6065264069249091, 0.6224471088209202, 0.6203459836237933, 0.6035019134526307, 0.6038185196851182, 0.6163302203199214, 0.6038102761184346, 0.6147022781762467, 0.6098859091898751, 0.6118316094774168]","[0.5284951798261294, 0.5208866431867722, 0.48927191114598745, 0.48309421935269015, 0.536292250943301, 0.570818721025594, 0.5907490690603948, 0.5386938242630601, 0.5649761713436096, 0.579189453311621]"
Naïve Bayes,4316,"[0.5610133343102733, 0.56800181866986, 0.5737737532045813, 0.5697133779047107, 0.5692299483095123, 0.5991907432921108, 0.5681003327485443, 0.5689608972996835, 0.5683083453254384, 0.5672531549770435]","[0.5267708424090777, 0.5196240196752084, 0.4931186871006905, 0.4965151473437004, 0.5156556770997642, 0.564258543033726, 0.583134992146862, 0.5336512470804861, 0.5498217875511234, 0.5622890606704054]"
Naïve Bayes,4932,"[0.5149531352005252, 0.5261345559492896, 0.5321792205627778, 0.5303601400041514, 0.5240629180001399, 0.5266961899485251, 0.519138402655923, 0.5286669805081424, 0.5259194872180182, 0.5363370453850109]","[0.5192449787580334, 0.5157600241266956, 0.455586646490259, 0.49357002579951625, 0.48725915619455906, 0.5242941198367257, 0.5185135486396627, 0.5073388962163105, 0.512162894534211, 0.5683505103380141]"
Naïve Bayes,5549,"[0.474797126131344, 0.48635950336483835, 0.4964966732701122, 0.5187331195408272, 0.48069812976802156, 0.4846044584146542, 0.4820060896673269, 0.48649590849498425, 0.4909878338450835, 0.48730572506084]","[0.5002595925740866, 0.5000154882590938, 0.455586646490259, 0.49294313795440603, 0.4745308564186632, 0.5090236232859708, 0.5227713501651654, 0.47722775646720234, 0.5093785815063451, 0.5402998839107455]"
Decision Tree,308,"[0.9387777573015096, 0.8602947810423345, 0.9467609862434772, 0.866717986707198, 0.924147789481345, 0.8856600688204257, 0.9287996444656521, 0.8632377451963533, 0.9825284338159685, 0.9199633862558825]","[0.3906081072161859, 0.4637892649478223, 0.48351069907874633, 0.4142704358108451, 0.47989135892703766, 0.3829302334861545, 0.45507871761691904, 0.46463460743083523, 0.4645632072201216, 0.42863527806738977]"
Decision Tree,616,"[0.9076402965054474, 0.8868657421769527, 0.8924133096001623, 0.9098669805109042, 0.9002739937806377, 0.904630693009472, 0.8903543289831406, 0.9002739937806377, 0.8774114185841451, 0.8760732108569156]","[0.5266633275700213, 0.3621385416111142, 0.5496617998897267, 0.41951825257915815, 0.42925027421094814, 0.44442895899373586, 0.6022096806932837, 0.4722568098649439, 0.5088722224782282, 0.37485551561827657]"
Decision Tree,1233,"[0.9212209495902159, 0.9151396376614567, 0.9046536215780163, 0.9240074447415126, 0.9128391605868252, 0.8984438675766808, 0.8933703673421582, 0.916496517361003, 0.9154889480625621, 0.907622608170147]","[0.5729146650598468, 0.4309596713178774, 0.5984449712092725, 0.45587392682081584, 0.4563033156967283, 0.6045117737586565, 0.5995637840046112, 0.6280279993798117, 0.5494532953632522, 0.5046373304417122]"
Decision Tree,1849,"[0.8866588344388205, 0.8989688183551381, 0.8832086575116291, 0.8962460517613727, 0.9032330966768143, 0.8849908249857774, 0.9074614388746729, 0.8799175512457108, 0.8643124497782707, 0.8626998372632071]","[0.5239381754335142, 0.5354639278358493, 0.5390765744880742, 0.5048417909196216, 0.49998164097237074, 0.5244507508735897, 0.6129860876819705, 0.6137729689542759, 0.5491523034440782, 0.522151321430945]"
Decision Tree,2466,"[0.87725298333, 0.8917156106525364, 0.8987426331238201, 0.9009015616447957, 0.8829636438230426, 0.8863390649565129, 0.8951264370343465, 0.8913055727181587, 0.8949022856997393, 0.8764725680475866]","[0.5074828247818283, 0.5493122760679507, 0.6456811626813711, 0.526611949543382, 0.505552916595922, 0.6129792783128231, 0.6281352309462009, 0.6071775417314916, 0.6089651076116601, 0.5030178828746563]"
Decision Tree,3083,"[0.8633987438059683, 0.8713538923296595, 0.8608319255017421, 0.8739815748021714, 0.8636522664821294, 0.8774157566395064, 0.8663385583156147, 0.8565443593909069, 0.8776556617279635, 0.8640330746923913]","[0.6005269622180727, 0.5482014718109944, 0.6162404155185912, 0.5865505518801891, 0.5576574667843468, 0.641783586897658, 0.6622569319534255, 0.6312968684808786, 0.5798293872864166, 0.593632414886631]"
Decision Tree,3699,"[0.8542792190242527, 0.8615832241196103, 0.8604288301530993, 0.8675763261989301, 0.849060400189997, 0.8585261526456613, 0.8473234795546482, 0.8550453293455752, 0.8510533089753192, 0.8465745274551952]","[0.5943491107294507, 0.5679663599340359, 0.6222400335782278, 0.5963315394197309, 0.5751440144007403, 0.635124241927893, 0.6727417036616355, 0.6432026192425032, 0.5764289019975316, 0.6533677139864117]"
Decision Tree,4316,"[0.8332487215333978, 0.8307882928172295, 0.8397848671620481, 0.8666207461043504, 0.8404998868428545, 0.8353124849354612, 0.8401504736886356, 0.8437384418748778, 0.8242102145515006, 0.8295504513784141]","[0.6177201811669208, 0.6087161643324541, 0.6208773461874787, 0.6435739083470995, 0.58683067586016, 0.6253010597970313, 0.7101779749326219, 0.6640064486501464, 0.6691598692228645, 0.649996309847123]"
Decision Tree,4932,"[0.831687337308218, 0.8452390187219092, 0.838838813411552, 0.8517970723223859, 0.8481908002615897, 0.8425081687825424, 0.837741642993173, 0.8433972967098593, 0.8332273921273438, 0.85771175541534]","[0.6331932649155784, 0.658803698650158, 0.670782409013142, 0.6036377441551146, 0.5995637840046112, 0.6564879305793826, 0.7035568758578384, 0.6923628727146335, 0.6927393459166709, 0.7097375752519377]"
Decision Tree,5549,"[0.8166487609073617, 0.8388388140021603, 0.8313771866960361, 0.8412725726328489, 0.8357811605334554, 0.8349753614863401, 0.8395602882461172, 0.8393927410076073, 0.8275737047464516, 0.8465561203730464]","[0.5924469729652021, 0.641831418214396, 0.6839571582624069, 0.6517661725815869, 0.653913358096633, 0.7321481132705695, 0.6999201767401612, 0.7201686470366621, 0.6663008189086772, 0.6687694911698063]"
Random Forest,308,"[0.7599505861004168, 0.7557416914554409, 0.7759298830838598, 0.7783155775356753, 0.7891583612097228, 0.7624928516630234, 0.7290808839636496, 0.7421657079235102, 0.7414226880391382, 0.7573232213120509]","[0.3853242899455387, 0.33294632083095776, 0.46654981725692346, 0.48084298444757684, 0.47216725020139244, 0.4904872114772775, 0.40823545619776513, 0.4429054831366624, 0.382918723501726, 0.4201359112004788]"
Random Forest,616,"[0.8054148338082042, 0.7661219714108637, 0.7713420469928497, 0.7884934735451766, 0.8034177415130174, 0.7734564327231054, 0.7784818965527333, 0.7984549435468123, 0.7824707894857593, 0.7798349143496186]","[0.44969234558828397, 0.44694062484983904, 0.4567338075498135, 0.4385273979706001, 0.446861938107518, 0.46205981445941957, 0.5065319830559095, 0.4659402539364312, 0.5836271159415577, 0.48277745487394436]"
Random Forest,1233,"[0.8277765698598786, 0.8193439758102687, 0.8056232162840828, 0.8197127829692501, 0.8083734033531083, 0.8030639913931139, 0.8091951690861451, 0.8128530813557223, 0.8159985652785091, 0.8001068848479592]","[0.5655113950439996, 0.5702891157607288, 0.6150751922479655, 0.5555723068163207, 0.5452922397741814, 0.6059832815730868, 0.6341314922437404, 0.6443102754457928, 0.6271389503532884, 0.5466828443804463]"
Random Forest,1849,"[0.7551252737000494, 0.7600403941286684, 0.7480887349296496, 0.7531137344831087, 0.7719497960654027, 0.7540698722104364, 0.7584588738491413, 0.7470736335303292, 0.7556250650479153, 0.7638020336990647]","[0.5262437122181842, 0.5354933976032914, 0.5896933642422675, 0.5456370653436385, 0.5297211457242205, 0.5848627611774461, 0.6341314922437404, 0.6297712117939365, 0.5958387421487495, 0.5125288593100139]"
Random Forest,2466,"[0.7608226651689722, 0.7666433811640372, 0.7607396414466078, 0.7641019932329346, 0.7754767011299829, 0.7510622988026661, 0.7562179927794728, 0.752563139293104, 0.7720815519928079, 0.7696933379669]","[0.5475810210707809, 0.5620214412672945, 0.6098113951827271, 0.5555723068163207, 0.5213564802249602, 0.6191919744434674, 0.6580880219073533, 0.6075984486319891, 0.6010098841997326, 0.5521960503585486]"
Random Forest,3083,"[0.7400160653892837, 0.7373503717143385, 0.7323745063255853, 0.7487135886644986, 0.7381201288116179, 0.7295924156135553, 0.7266696491020911, 0.7315887314113404, 0.7264849236293974, 0.7411503219735379]","[0.5655113950439996, 0.5553986986038627, 0.6567369741638148, 0.5551636630450069, 0.5328351717653331, 0.6317619089628518, 0.6533799766381411, 0.6227266610642798, 0.596464556981512, 0.5632935273834283]"
Random Forest,3699,"[0.7065272519687461, 0.7163922694950159, 0.710720041746787, 0.7127839102671609, 0.7148506520192165, 0.704322368888143, 0.7064427472968922, 0.7033837677845141, 0.7185907359416682, 0.7074809463413452]","[0.5531613667629226, 0.5544790420746989, 0.6516717063245143, 0.53824009036687, 0.5340062814772305, 0.615244561073431, 0.67338835517397, 0.617535551992297, 0.6062901184682118, 0.5524451224616546]"
Random Forest,4316,"[0.689046634909042, 0.6878490269036078, 0.6852557055468759, 0.7009630559484387, 0.6943696819108895, 0.6901814631318183, 0.6882360398361614, 0.6875770445099967, 0.6915562712703982, 0.6879490613307457]","[0.5592784825491403, 0.5674955841525752, 0.6358773207269176, 0.5207185385892825, 0.5261472995469273, 0.6317619089628518, 0.6841754003236346, 0.6171569373272331, 0.5956416531377106, 0.5632170225824616]"
Random Forest,4932,"[0.6694225034359597, 0.6764970204152538, 0.6728280208126356, 0.6744233592275822, 0.6699643084429984, 0.6640940097900215, 0.6664154937464366, 0.6562076492314886, 0.66769485503329, 0.6591397117750736]","[0.5489091004885256, 0.5742041666033252, 0.6214286892110256, 0.5096517051587418, 0.5123991439842996, 0.6073370216094975, 0.6386295349536631, 0.5932657779787863, 0.5467674265644862, 0.5577409137441907]"
Random Forest,5549,"[0.6410696168475719, 0.6361951775092421, 0.6373578068438366, 0.6560701760003889, 0.6377479857707463, 0.6300656511570589, 0.6312016064588064, 0.645110071611872, 0.6415754135614606, 0.6481649862480932]","[0.4887118897168977, 0.5371430023226056, 0.5861840974850329, 0.49305936034838543, 0.4844383678201121, 0.5611136653726636, 0.6007470112591483, 0.588970017878331, 0.5305137441393115, 0.5414333500540589]"
GBM,308,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.5396844007239103, 0.41859901902374597, 0.44311397372722233, 0.47568035823840277, 0.4468702827646253, 0.5206250075604244, 0.48564350118423677, 0.5585472110072441, 0.44581323213512025, 0.45679720187022455]"
GBM,616,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.5349518218110357, 0.41170270302341894, 0.49625074165570265, 0.5365604567549977, 0.4825445451480614, 0.5084186334270954, 0.5879755412595541, 0.6290136271537218, 0.5425889251670568, 0.6464075538114562]"
GBM,1233,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.5788281280654918, 0.6164134068698328, 0.6419490916945599, 0.608084204821456, 0.5993817926255531, 0.6371503936793912, 0.6736200767297614, 0.7002653276900547, 0.6836634931538186, 0.6653948616537327]"
GBM,1849,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.660647282910912, 0.6312251797569521, 0.7215338890752809, 0.6823436468857021, 0.6891144970492948, 0.6574457112370603, 0.730669509231124, 0.6685081919680024, 0.6505729959813898, 0.6685081919680024]"
GBM,2466,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.6748739793660432, 0.7209186808051798, 0.6926704255021533, 0.6843603897147242, 0.6786461583991514, 0.7252147556026476, 0.7357985529558355, 0.7207924368260196, 0.6960050817695693, 0.693123668166543]"
GBM,3083,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.6931807518185668, 0.7296674261010295, 0.6976207664222395, 0.6856856424305311, 0.7002888102317276, 0.7052856646310806, 0.7131075604853039, 0.7423929013708517, 0.7231156838937882, 0.7146629811842219]"
GBM,3699,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.726628045222097, 0.7774207389015678, 0.720898364198703, 0.7240516465246661, 0.7740971738108464, 0.7841070319586944, 0.7851215242888013, 0.7889039078123624, 0.7994920655510327, 0.7770161432281275]"
GBM,4316,"[1.0, 1.0, 0.9993432006720144, 1.0, 0.9993432006720144, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.807692230597755, 0.7918408572830712, 0.7438287834685691, 0.7237594147565807, 0.7614020063918282, 0.8028830290605508, 0.8066454979655968, 0.8187113672523556, 0.7980243990949826, 0.7998857241927799]"
GBM,4932,"[0.999402411673321, 1.0, 0.9994011927527514, 0.9994040251694124, 0.9994028162996925, 0.9993995556755411, 1.0, 1.0, 1.0, 1.0]","[0.8326131032313668, 0.8178691990466912, 0.7569043873646624, 0.7694734277206446, 0.7942772255966748, 0.8246671254065637, 0.8509882274265127, 0.8318131516550291, 0.8277110137701763, 0.81342853005]"
GBM,5549,"[0.999437639541686, 0.9994402753257379, 0.9994383962893008, 0.9994395259013807, 0.9994353514969804, 0.9994368798375824, 1.0, 1.0, 0.9988782384191143, 0.9988797407996903]","[0.8434849371398273, 0.8522855374056553, 0.8090280202905563, 0.8025471580563792, 0.8346208770058137, 0.8619619837944235, 0.8745227047282802, 0.8200109661939058, 0.8271471201226173, 0.8332239665369315]"
MLP,308,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.49812917490945063, 0.44708424846922995, 0.4992656114523233, 0.5151498635932172, 0.536292250943301, 0.536292250943301, 0.5017653437459405, 0.5405201383430557, 0.47952686820387413, 0.5229750238757108]"
MLP,616,"[0.9404176364033798, 0.9023196828103988, 0.8924133096001623, 0.9050735421340544, 0.8761769271567491, 0.9101936585781348, 0.8951857120027327, 0.909641261244457, 0.9160336916261976, 0.8909636833900102]","[0.6954231976406687, 0.6476888975416134, 0.6434960620445831, 0.718801007396743, 0.6317344976836865, 0.6349363851217236, 0.698684278359865, 0.7610275871000164, 0.625081638613134, 0.6952940491334867]"
MLP,1233,"[0.9731164236814056, 0.9719445810728136, 0.9815656229110208, 0.9794638821917617, 0.9863687523779991, 0.9840330610484945, 0.9753588126792112, 0.976986274619922, 0.9750583342703787, 0.9862830923353106]","[0.6705749922827843, 0.6028009150030024, 0.663201849595336, 0.6652976422973039, 0.6570306090781095, 0.6949576241990949, 0.6887339175187985, 0.7250548104325725, 0.648522113456325, 0.6668678155876462]"
MLP,1849,"[0.9845150951715771, 0.988926272533842, 0.9824961465967065, 0.9856559598368158, 0.993751660140922, 0.9858659826759084, 0.9891750279200062, 0.9842876563138476, 0.9907379825269678, 0.9920918637151545]","[0.6452854873325763, 0.6536058582969141, 0.6737490009299996, 0.6537114153928459, 0.6838021002642097, 0.6792008261903097, 0.6651770731158396, 0.7513950376929706, 0.6736200767297614, 0.7084980902725715]"
MLP,2466,"[0.9850647689976679, 0.981476070007357, 0.9800595512640737, 0.9814044578444497, 0.9872255645418307, 0.9870691180103915, 0.9850284838894268, 0.9848810849681233, 0.9781180405454635, 0.9823398540430557]","[0.6903905999985612, 0.6678445298813785, 0.6671028037383178, 0.6862411365078609, 0.6769230461064304, 0.6986042834207724, 0.7200265175882516, 0.7579831233736821, 0.669697459782069, 0.6872855471086092]"
MLP,3083,"[0.9797928385868033, 0.9716344695895308, 0.9778400013203771, 0.9833767071234586, 0.9824929963532236, 0.9834532063117349, 0.9753940084574174, 0.9761058090882241, 0.9781208203815046, 0.9777496323455529]","[0.7003477533707835, 0.7036404162584885, 0.653029935088609, 0.6581069137710168, 0.670915061868788, 0.7414808594728939, 0.7592426698683896, 0.7676699870374438, 0.7064284416391415, 0.6956626842893554]"
