Classifier,time_s
1-NN,209.0745770931244
Naïve Bayes,66.29949998855591
Decision Tree,65.74444103240967
Random Forest,3448.2480895519257
GBM,1027.4003133773804
MLP,348.6365530490875
RBF SVM,9440.986673593521
Logistic Regression,1.5585532188415527
Random Forest,2505.8593530654907
MLP,436.4848382472992
