Classifier,training_s,testing_s
1-NN,0.0021791458129882812,0.010929346084594727
Naïve Bayes,0.002385377883911133,0.0006716251373291016
Decision Tree,0.016727924346923828,0.0005681514739990234
Random Forest,0.24718809127807617,0.02275848388671875
GBM,9.571841716766357,0.010776281356811523
MLP,0.4339163303375244,0.0004818439483642578
RBF SVM,0.23630690574645996,0.029052734375
Logistic Regression,0.005902767181396484,0.0003807544708251953
