Classifier,clase,accuracy,balanced_accuracy,sensitivity,specificity,f1,mcc
1-NN,downward,0.4423076923076923,0.372856322352813,0.22413793103448276,0.6759581881533101,0.15853658536585366,-0.08098142618342606
1-NN,no_movement,0.4423076923076923,0.372856322352813,0.5050505050505051,0.456,0.5825242718446602,-0.035587028921684166
1-NN,upward,0.4423076923076923,0.372856322352813,0.3893805309734513,0.6197718631178707,0.3424124513618677,0.008632300884446418
1-NN,macro_avg,0.4423076923076923,0.372856322352813,0.372856322352813,0.5839100170903936,0.3611577695241272,-0.03597871807355461
1-NN,weighted_avg,0.4423076923076923,0.37285632235281296,0.44230769230769235,0.5228029817205372,0.47200307199353553,-0.030535940829992444
Naïve Bayes,downward,0.20512820512820512,0.3738185434859222,0.896551724137931,0.12222222222222222,0.24413145539906103,0.01999916706578062
Naïve Bayes,no_movement,0.20512820512820512,0.3738185434859222,0.10101010101010101,0.8571428571428571,0.17751479289940827,-0.05415945749069003
Naïve Bayes,upward,0.20512820512820512,0.3738185434859222,0.12389380530973451,0.6456692913385826,0.16279069767441862,-0.26713317098543854
Naïve Bayes,macro_avg,0.20512820512820515,0.3738185434859222,0.3738185434859222,0.5416781235678872,0.194812315324296,-0.10043115380344932
Naïve Bayes,weighted_avg,0.20512820512820512,0.3738185434859222,0.20512820512820512,0.7150020243196096,0.1822155272253827,-0.09639199894503038
Decision Tree,downward,0.47863247863247865,0.35624340923903536,0.20689655172413793,0.7235494880546075,0.15894039735099338,-0.05853536655887048
Decision Tree,no_movement,0.47863247863247865,0.35624340923903536,0.622895622895623,0.3,0.6457242582897034,-0.07421401354270611
Decision Tree,upward,0.47863247863247865,0.35624340923903536,0.23893805309734514,0.7323420074349443,0.25471698113207547,-0.02991493523211296
Decision Tree,macro_avg,0.47863247863247865,0.35624340923903536,0.35624340923903536,0.5852971651631839,0.35312721225759075,-0.05422143844456318
Decision Tree,weighted_avg,0.47863247863247865,0.35624340923903536,0.47863247863247865,0.4568814468959742,0.490986467150265,-0.061574788384245654
Random Forest,downward,0.5448717948717948,0.3669420615814675,0.10344827586206896,0.8383838383838383,0.10714285714285714,-0.05988187252145119
Random Forest,no_movement,0.5448717948717948,0.3669420615814675,0.7407407407407407,0.2517985611510791,0.7085346215780999,-0.007957626941210516
Random Forest,upward,0.5448717948717948,0.3669420615814675,0.25663716814159293,0.7874564459930313,0.2857142857142857,0.04753940761551566
Random Forest,macro_avg,0.5448717948717948,0.3669420615814675,0.3669420615814675,0.6258796151759829,0.36713058814508087,-0.006766697282382016
Random Forest,weighted_avg,0.5448717948717948,0.3669420615814675,0.5448717948717948,0.45383122582338814,0.5319119286510591,-0.0009927580069026137
GBM,downward,0.5897435897435898,0.41083777112665326,0.1724137931034483,0.8926174496644296,0.2,0.07444828764616865
GBM,no_movement,0.5897435897435898,0.41083777112665326,0.7946127946127947,0.28169014084507044,0.7433070866141732,0.08480952012913892
GBM,upward,0.5897435897435898,0.41083777112665326,0.26548672566371684,0.8092105263157895,0.29850746268656714,0.081365697818855
GBM,macro_avg,0.5897435897435898,0.41083777112665326,0.41083777112665326,0.6611727056084299,0.4139381831002468,0.08020783519805419
GBM,weighted_avg,0.5897435897435898,0.41083777112665326,0.5897435897435898,0.48477472945557065,0.5685759572820331,0.08269391456274072
MLP,downward,0.43162393162393164,0.3720934294629748,0.3103448275862069,0.6524822695035462,0.20689655172413793,-0.029492529639725963
MLP,no_movement,0.43162393162393164,0.3720934294629748,0.5050505050505051,0.4262295081967213,0.5802707930367504,-0.06251774841908214
MLP,upward,0.43162393162393164,0.3720934294629748,0.3008849557522124,0.631578947368421,0.27755102040816326,-0.06484560636039384
MLP,macro_avg,0.43162393162393164,0.3720934294629748,0.3720934294629748,0.5700969083562295,0.3549061217230172,-0.05228529480640065
MLP,weighted_avg,0.43162393162393164,0.3720934294629748,0.43162393162393164,0.5038516167056912,0.46090532230349857,-0.05898694768866668
RBF SVM,downward,0.5,0.3794016179836544,0.22413793103448276,0.7317880794701986,0.17105263157894737,-0.03688884749737091
RBF SVM,no_movement,0.5,0.3794016179836544,0.6397306397306397,0.3235294117647059,0.6563039723661486,-0.03578270716293019
RBF SVM,upward,0.5,0.3794016179836544,0.2743362831858407,0.7689393939393939,0.3024390243902439,0.046160309644200107
RBF SVM,macro_avg,0.5,0.3794016179836544,0.3794016179836544,0.6080856283914328,0.3765985427784466,-0.008837081672033663
RBF SVM,weighted_avg,0.5,0.37940161798365435,0.49999999999999994,0.48167114405671085,0.5107242354282535,-0.016134406394109325
Logistic Regression,downward,0.42094017094017094,0.3747615852691633,0.3275862068965517,0.5993265993265994,0.19387755102040816,-0.05543245314060373
Logistic Regression,no_movement,0.42094017094017094,0.3747615852691633,0.4781144781144781,0.5045871559633027,0.5760649087221096,-0.0153411836997379
Logistic Regression,upward,0.42094017094017094,0.3747615852691633,0.3185840707964602,0.6216216216216216,0.291497975708502,-0.05728066709994898
Logistic Regression,macro_avg,0.42094017094017094,0.3747615852691633,0.3747615852691633,0.5751784589705079,0.3538134784836733,-0.04268476798009687
Logistic Regression,weighted_avg,0.42094017094017094,0.3747615852691633,0.42094017094017094,0.5445866908659976,0.45999027159126266,-0.030436173553998733
