sex,edyrs,usmarl,usdurl,usdocl,reltrip,paistrip,sport,social,age,minors,land,property,business,METROCAT,usunemp,inus,sons,daus,hrwage_adj_2019,pre_irca,irca,iirira,pais_pre_irca,pais_irca,pais_iirira
1.0,2.0,1.0,18.0,8.0,1.0,1.0,2.0,2.0,33.0,2.0,0.0,1.0,0.0,4.0,0.042,0.0,0.0,2.0,10.741890756302524,0.0,0.0,1.0,0.0,0.0,1.0
1.0,6.0,1.0,48.0,8.0,1.0,2.0,1.0,2.0,31.0,0.0,0.0,1.0,0.0,3.0,0.051,0.0,1.0,0.0,12.174142857142858,0.0,0.0,1.0,0.0,0.0,0.0
1.0,3.0,1.0,258.0,1.0,1.0,2.0,2.0,1.0,38.0,0.0,0.0,1.0,0.0,3.0,0.061,1.0,1.0,0.0,11.843323183569808,0.0,1.0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,18.0,8.0,1.0,1.0,2.0,2.0,29.0,1.0,0.0,0.0,0.0,3.0,0.038,0.0,1.0,2.0,11.843323183569808,1.0,0.0,0.0,0.0,0.0,0.0
1.0,6.0,1.0,12.0,8.0,1.0,1.0,2.0,1.0,29.0,1.0,0.0,0.0,0.0,2.0,0.075,0.0,1.0,1.0,10.02219173200285,0.0,1.0,0.0,0.0,1.0,0.0
1.0,5.0,1.0,42.0,8.0,2.0,1.0,2.0,2.0,39.0,2.0,0.0,1.0,0.0,3.0,0.093,0.0,0.0,2.0,13.10835426989284,0.0,0.0,1.0,0.0,0.0,1.0
1.0,6.0,1.0,18.0,5.0,1.0,1.0,2.0,2.0,36.0,2.0,0.0,1.0,0.0,3.0,0.049,1.0,0.0,3.0,13.539467289719626,0.0,0.0,1.0,0.0,0.0,0.0
1.0,3.0,1.0,14.0,8.0,1.0,2.0,2.0,2.0,24.0,0.0,0.0,0.0,0.0,3.0,0.071,1.0,2.0,0.0,10.859217233009709,1.0,0.0,0.0,0.0,0.0,0.0
1.0,4.0,1.0,24.0,8.0,2.0,1.0,2.0,2.0,23.0,1.0,0.0,0.0,0.0,2.0,0.081,0.0,2.0,0.0,6.584657254343076,0.0,0.0,1.0,0.0,0.0,1.0
1.0,4.0,1.0,24.0,8.0,1.0,2.0,2.0,2.0,31.0,0.0,1.0,1.0,0.0,3.0,0.045,0.0,1.0,0.0,10.194911042944788,0.0,0.0,1.0,0.0,0.0,0.0
1.0,6.0,1.0,24.0,8.0,2.0,1.0,2.0,2.0,36.0,3.0,0.0,1.0,0.0,4.0,0.049,0.0,2.0,1.0,6.371514018691589,0.0,0.0,1.0,0.0,0.0,1.0
1.0,9.0,1.0,8.0,8.0,1.0,1.0,1.0,2.0,26.0,2.0,0.0,2.0,0.0,3.0,0.058,0.0,1.0,2.0,9.23719010561423,0.0,0.0,1.0,0.0,0.0,1.0
1.0,6.0,1.0,36.0,8.0,2.0,2.0,2.0,2.0,42.0,3.0,0.0,1.0,0.0,3.0,0.061,0.0,2.0,2.0,10.350485829959515,0.0,1.0,0.0,0.0,0.0,0.0
1.0,4.0,2.0,48.0,8.0,2.0,1.0,1.0,2.0,24.0,0.0,0.0,0.0,0.0,4.0,0.071,0.0,0.0,1.0,11.843323183569808,1.0,0.0,0.0,1.0,0.0,0.0
1.0,6.0,1.0,12.0,8.0,2.0,1.0,2.0,2.0,46.0,7.0,0.0,1.0,0.0,1.0,0.055,0.0,3.0,3.0,11.843323183569808,0.0,1.0,0.0,0.0,1.0,0.0
1.0,9.0,2.0,294.0,8.0,2.0,2.0,1.0,2.0,21.0,0.0,0.0,0.0,0.0,3.0,0.068,0.0,1.0,1.0,20.64777533039648,0.0,1.0,0.0,0.0,0.0,0.0
1.0,6.0,1.0,120.0,8.0,1.0,2.0,2.0,2.0,37.0,2.0,0.0,1.0,0.0,4.0,0.06,0.0,1.0,1.0,11.843323183569808,0.0,0.0,1.0,0.0,0.0,0.0
1.0,9.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,30.0,4.0,0.0,1.0,0.0,3.0,0.04,0.0,2.0,1.0,11.843323183569808,0.0,0.0,1.0,0.0,0.0,1.0
1.0,3.0,1.0,24.0,8.0,1.0,1.0,2.0,2.0,39.0,4.0,0.0,1.0,0.0,2.0,0.081,0.0,2.0,2.0,11.843323183569808,0.0,0.0,1.0,0.0,0.0,1.0
1.0,2.0,1.0,6.0,5.0,2.0,2.0,2.0,2.0,50.0,1.0,0.0,1.0,0.0,1.0,0.055,0.0,1.0,2.0,10.805452240067623,0.0,1.0,0.0,0.0,0.0,0.0
1.0,9.0,1.0,24.0,8.0,2.0,2.0,2.0,2.0,30.0,1.0,0.0,0.0,0.0,3.0,0.047,1.0,3.0,0.0,11.843323183569808,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.0,1.0,12.0,8.0,1.0,1.0,2.0,2.0,41.0,4.0,0.0,1.0,1.0,4.0,0.075,0.0,0.0,0.0,8.199975053456878,0.0,1.0,0.0,0.0,0.0,0.0
1.0,6.0,2.0,12.0,8.0,2.0,1.0,2.0,2.0,22.0,1.0,0.0,0.0,0.0,3.0,0.055,0.0,1.0,1.0,8.120391741662255,0.0,0.0,1.0,0.0,0.0,1.0
1.0,6.0,1.0,6.0,8.0,2.0,1.0,2.0,2.0,48.0,0.0,0.0,1.0,1.0,2.0,0.058,0.0,0.0,1.0,11.843323183569808,0.0,0.0,1.0,0.0,0.0,1.0
1.0,6.0,1.0,8.0,1.0,2.0,1.0,1.0,1.0,55.0,0.0,0.0,1.0,0.0,2.0,0.042,0.0,0.0,0.0,7.902962484993999,0.0,0.0,1.0,0.0,0.0,1.0
1.0,4.0,1.0,42.0,8.0,1.0,1.0,2.0,2.0,32.0,2.0,1.0,1.0,0.0,4.0,0.04,0.0,1.0,1.0,7.423257839721256,0.0,0.0,1.0,0.0,0.0,1.0
