sex,edyrs,usmarl,usdurl,usdocl,reltrip,paistrip,sport,social,age,minors,land,property,business,METROCAT,usunemp,inus,sons,daus,hrwage_adj_2019,pre_irca,irca,iirira,pais_pre_irca,pais_irca,pais_iirira,target
1,6.0,1.0,6,1.0,1.0,1.0,1.0,1.0,31,2.0,0,2,0,2,0.042,0,1,1,,0,0,1,0,0,1,0
1,3.0,1.0,12,8.0,1.0,2.0,2.0,2.0,31,0.0,0,0,1,2,0.049,0,2,1,13.819297297297298,1,0,0,0,0,0,1
1,6.0,1.0,18,8.0,1.0,1.0,2.0,2.0,43,4.0,0,1,0,2,0.072,0,1,3,10.929574349442378,1,0,0,1,0,0,0
1,3.0,1.0,9,1.0,1.0,1.0,2.0,2.0,34,1.0,0,1,1,2,0.042,0,1,0,18.41466986794718,0,0,1,0,0,1,0
1,3.0,1.0,132,1.0,1.0,1.0,2.0,2.0,28,0.0,0,1,0,2,0.053,0,1,0,50.203612500000006,0,1,0,0,1,0,0
1,6.0,2.0,6,8.0,2.0,1.0,2.0,2.0,23,0.0,0,0,1,2,0.062,0,2,2,7.426655809859155,0,1,0,0,1,0,0
1,6.0,1.0,16,8.0,1.0,2.0,2.0,2.0,38,3.0,0,1,0,2,0.054,0,2,1,8.391545889101339,0,1,0,0,0,0,0
1,8.0,1.0,11,8.0,1.0,1.0,2.0,2.0,29,1.0,0,3,0,2,0.042,0,1,0,9.821157262905164,0,0,1,0,0,1,0
1,2.0,1.0,36,8.0,2.0,1.0,2.0,2.0,52,4.0,0,1,0,2,0.076,0,0,2,11.250033003300329,1,0,0,1,0,0,0
1,0.0,1.0,3,8.0,2.0,1.0,2.0,2.0,27,3.0,0,0,0,2,0.075,0,0,3,9.842425409047161,1,0,0,1,0,0,1
1,3.0,1.0,10,1.0,2.0,1.0,2.0,2.0,56,0.0,0,1,0,2,0.042,0,2,0,8.823695978391356,0,0,1,0,0,1,1
1,3.0,1.0,12,8.0,2.0,1.0,2.0,2.0,37,7.0,0,1,0,2,0.035,0,0,1,21.59500544959128,1,0,0,1,0,0,0
1,6.0,1.0,8,1.0,2.0,1.0,1.0,1.0,55,0.0,0,1,0,2,0.042,0,0,0,7.902962484993999,0,0,1,0,0,1,0
1,6.0,1.0,8,1.0,2.0,1.0,1.0,2.0,34,0.0,0,1,0,2,0.042,0,0,0,21.483781512605045,0,0,1,0,0,1,0
1,2.0,2.0,18,8.0,2.0,1.0,2.0,1.0,39,0.0,0,1,0,2,0.061,0,3,0,37.25063650306748,1,0,0,1,0,0,0
1,6.0,1.0,8,1.0,1.0,1.0,2.0,2.0,34,3.0,0,1,0,2,0.049,0,0,2,17.521663551401872,0,0,1,0,0,1,0
1,3.0,1.0,10,1.0,1.0,1.0,2.0,1.0,40,3.0,0,1,1,2,0.042,0,2,1,9.20733493397359,0,0,1,0,0,1,0
1,3.0,1.0,3,1.0,1.0,1.0,2.0,1.0,49,0.0,0,4,1,2,0.056,0,2,2,10.987882874015748,0,1,0,0,1,0,1
1,6.0,1.0,24,8.0,2.0,1.0,1.0,2.0,33,2.0,0,0,0,2,0.058,0,1,2,11.444700413223142,1,0,0,1,0,0,0
1,3.0,1.0,10,1.0,2.0,1.0,2.0,2.0,42,4.0,0,1,0,2,0.042,0,2,3,,0,0,1,0,0,1,0
