birth_cohort,education,labor_exp_age45,first_migration_age,total_trips,legal_status,latest_us_occupation,accumulated_us_experience,mean_proportion_low_income,label
1944,12.0,37.083333333333336,28.0,1,WD,Other,1.0,0.17899777922911875,no_movement
1930,0.0,35.25,17.0,4,WD,Agrarian,42.0,0.17899777922911875,no_movement
1944,5.0,34.0,45.0,9,WOD,Manual,59.0,0.17899777922911875,downward
1950,0.0,35.916666666666664,23.0,16,WD,Manual,53.0,0.17899777922911875,downward
1938,0.0,31.0,18.0,12,WOD,Agrarian,408.0,0.17899777922911875,no_movement
1931,0.0,28.0,19.0,21,WD,Manual,216.0,0.17899777922911875,no_movement
1972,6.0,10.416666666666666,17.0,2,WD,Agrarian,19.0,0.17899777922911875,undetermined
1958,0.0,30.0,17.0,1,WD,Manual,48.0,0.17899777922911875,undetermined
1964,0.0,13.5,23.0,7,WOD,Manual,71.0,0.17899777922911875,undetermined
1964,0.0,18.916666666666664,22.0,2,WD,Manual,53.0,0.17899777922911875,undetermined
1968,4.0,20.0,21.0,1,WD,Agrarian,12.0,0.17899777922911875,undetermined
1930,0.0,37.5,43.0,3,WD,Manual,36.0,0.17899777922911875,no_movement
1958,6.0,26.5,14.0,6,WOD,Manual,60.0,0.17899777922911875,undetermined
1959,2.0,25.5,19.0,3,WD,Manual,36.0,0.17899777922911875,undetermined
1966,3.0,19.25,15.0,9,WOD,Manual,192.0,0.17899777922911875,undetermined
1958,1.0,27.083333333333332,23.0,1,WD,Manual,1.0,0.17899777922911875,undetermined
1958,6.0,26.25,22.0,4,WD,Manual,123.0,0.17899777922911875,undetermined
1967,9.0,15.916666666666666,15.0,3,WD,Agrarian,35.0,0.17899777922911875,undetermined
1926,0.0,31.416666666666668,22.0,6,WOD,Agrarian,5.0,0.17899777922911875,no_movement
1955,6.0,26.833333333333332,16.0,20,WOD,Manual,216.0,0.17899777922911875,undetermined
1964,6.0,21.0,16.0,20,WOD,Manual,108.0,0.17899777922911875,undetermined
1955,2.0,33.333333333333336,24.0,2,WD,Other,16.0,0.17899777922911875,undetermined
1940,1.0,36.166666666666664,20.0,6,WD,Manual,26.0,0.17899777922911875,no_movement
1950,6.0,37.666666666666664,19.0,16,WOD,Agrarian,176.0,0.17899777922911875,no_movement
1951,6.0,31.0,27.0,1,WD,Manual,132.0,0.17899777922911875,no_movement
1912,0.0,15.083333333333334,30.0,2,WD,Agrarian,61.0,0.17899777922911875,undetermined
1917,0.0,32.0,38.0,1,WOD,Other,12.0,0.17899777922911875,no_movement
1958,6.0,26.0,17.0,21,WOD,Manual,240.0,0.17899777922911875,undetermined
1973,0.0,11.083333333333334,23.0,1,WD,Manual,7.0,0.17899777922911875,undetermined
1975,5.0,14.583333333333334,18.0,1,WD,Agrarian,7.0,0.17899777922911875,undetermined
1967,11.0,14.416666666666666,17.0,2,WOD,Other,167.0,0.17899777922911875,undetermined
1928,1.0,32.166666666666664,20.0,2,WOD,Agrarian,2.0,0.17899777922911875,no_movement
1955,3.0,33.0,18.0,1,WD,Agrarian,12.0,0.17899777922911875,undetermined
1936,4.0,36.416666666666664,21.0,2,WD,Agrarian,65.0,0.17899777922911875,no_movement
1951,3.0,36.0,29.0,5,WD,Other,108.0,0.17899777922911875,upward
1935,0.0,38.083333333333336,38.0,2,WD,Agrarian,37.0,0.17899777922911875,no_movement
1933,0.0,38.0,43.0,1,WD,Agrarian,24.0,0.17899777922911875,no_movement
1947,9.0,23.5,24.0,10,WOD,Manual,222.0,0.17899777922911875,no_movement
1959,4.0,29.5,23.0,2,WD,Manual,6.0,0.17899777922911875,undetermined
1975,3.0,7.583333333333333,20.0,1,WD,Agrarian,7.0,0.17899777922911875,undetermined
1928,4.0,37.666666666666664,20.0,4,WOD,Other,44.0,0.17899777922911875,no_movement
1926,1.0,39.0,31.0,1,WOD,Agrarian,12.0,0.17899777922911875,no_movement
1963,1.0,24.5,16.0,3,WD,Manual,30.0,0.17899777922911875,undetermined
1950,6.0,35.083333333333336,23.0,3,WD,Manual,49.0,0.17899777922911875,no_movement
1944,2.0,33.416666666666664,31.0,2,WD,Manual,17.0,0.17899777922911875,no_movement
1939,0.0,35.25,21.0,3,WD,Agrarian,3.0,0.17899777922911875,no_movement
1954,1.0,28.083333333333332,18.0,6,WD,Agrarian,25.0,0.17899777922911875,undetermined
1946,2.0,38.333333333333336,25.0,10,WOD,Manual,136.0,0.17899777922911875,no_movement
1950,3.0,24.0,22.0,3,WOD,Other,240.0,0.17899777922911875,undetermined
1947,6.0,31.833333333333332,31.0,5,WOD,Agrarian,184.0,0.17899777922911875,no_movement
1943,0.0,35.25,43.0,1,WD,Manual,3.0,0.17899777922911875,no_movement
1950,0.0,37.5,26.0,2,WD,Agrarian,18.0,0.17899777922911875,no_movement
1945,3.0,34.0,25.0,1,WD,Other,12.0,0.17899777922911875,undetermined
1966,12.0,11.25,21.0,1,WD,Manual,135.0,0.17899777922911875,undetermined
1949,2.0,42.0,36.0,1,WD,Other,168.0,0.17899777922911875,upward
1957,2.0,36.833333333333336,21.0,4,WD,Manual,180.0,0.17899777922911875,undetermined
1964,5.0,25.0,22.0,5,WOD,Manual,156.0,0.17899777922911875,undetermined
1969,6.0,20.0,17.0,1,WD,Manual,156.0,0.17899777922911875,undetermined
1971,2.0,22.0,15.0,1,WD,Manual,156.0,0.17899777922911875,undetermined
1960,3.0,25.0,19.0,6,WD,Agrarian,204.0,0.17899777922911875,undetermined
