Classifier,Train_sizes,Train_scores,Validation_scores
Naïve Bayes,3461,"[0.549062379033385, 0.5385073240515105, 0.5404948630554545, 0.5369193051428459, 0.499604481222713, 0.5392758546751283, 0.5282036121503086, 0.5323834087968548, 0.538103796932233, 0.535472056542893]","[0.48931771346518743, 0.5168258553948053, 0.4839269130274502, 0.4658871191573358, 0.4742533562512586, 0.573858545952952, 0.4942935465797429, 0.4590974481706471, 0.5466649138595197, 0.46000432012088704]"
Naïve Bayes,4153,"[0.5465822569124944, 0.5428012700401823, 0.550326714816586, 0.5504462133712887, 0.5351750057883508, 0.5376077203919352, 0.53729302403456, 0.5370784698154318, 0.5363197388972657, 0.5362261347145815]","[0.49323279722649344, 0.532706740870238, 0.4998493029232713, 0.49093916395447157, 0.5076994466379882, 0.5912796726987366, 0.5148603957871711, 0.47403450788959, 0.5522601495959233, 0.47232455617003777]"
Naïve Bayes,4846,"[0.5427978339973184, 0.5411491450867697, 0.5426822337197491, 0.5424847816422396, 0.5316607995083407, 0.5386681576841684, 0.5364692911595501, 0.5349416626057544, 0.5395451819712939, 0.5329362230752663]","[0.4956097294893875, 0.548759068258745, 0.5166806285886125, 0.49743890927615353, 0.4981360324002764, 0.5895145546087021, 0.5298589816311862, 0.4815086072955003, 0.5788418652152577, 0.4660054859797054]"
Naïve Bayes,5538,"[0.5392257084257406, 0.544360341555383, 0.5403736505302318, 0.5383658395657018, 0.5314601273610728, 0.5335784946935496, 0.5376226054294864, 0.5280071276732085, 0.5406102415257711, 0.5309021330161787]","[0.4863862863847566, 0.5684762400535195, 0.5235359027484371, 0.5013896970691172, 0.5030562831398436, 0.5960339668799745, 0.5249595217692676, 0.4776852978873169, 0.5728306647513748, 0.47617120830026083]"
Naïve Bayes,6230,"[0.5183845347649209, 0.5208372966465409, 0.520264290186179, 0.522379428288472, 0.5105135172162564, 0.515980062083492, 0.5182520942752501, 0.5146378220946792, 0.535563069633784, 0.5139430775728961]","[0.4818604630228322, 0.5315891925051633, 0.5184780947008143, 0.4952293483281624, 0.49170938400196995, 0.5780614912260126, 0.5148603957871711, 0.46656417229449687, 0.5709305034722912, 0.46000432012088704]"
Decision Tree,346,"[0.709845766177742, 0.7429371457512391, 0.7349632855067587, 0.7471051003888044, 0.6969836721205345, 0.6990288797935054, 0.67869639451588, 0.779795844101434, 0.7812516591724603, 0.7239431984236552]","[0.5018383432273521, 0.5404339570492859, 0.5735073865304958, 0.48413812082696, 0.5620227510810473, 0.4680221818366673, 0.5748293674608105, 0.47166535645195073, 0.5538732698460093, 0.6004418689879079]"
Decision Tree,692,"[0.7827804798299288, 0.7924874259847992, 0.7862961527386892, 0.8098953201330426, 0.7383686254051965, 0.7635364799584842, 0.7305998238027911, 0.74368366995163, 0.767120222106991, 0.7412378040450753]","[0.5397302946200387, 0.5886937858842557, 0.6062115127985782, 0.4780269907475562, 0.6032748072616679, 0.5380612436231038, 0.5233582256770678, 0.5081650284574986, 0.6324856855274756, 0.5084373504666735]"
Decision Tree,1384,"[0.7539551781113306, 0.7946341242512995, 0.7892768092274988, 0.7654704500550344, 0.7699138115022454, 0.7726056787455351, 0.7639838880981059, 0.7903207895998899, 0.7639403476290668, 0.7716442805363697]","[0.5814990480351914, 0.613322037305255, 0.6132127762765883, 0.5584874021925366, 0.6612485751968796, 0.6549678143740326, 0.5801349231639898, 0.5560779124613263, 0.6685208843191414, 0.58416032958997]"
Decision Tree,2076,"[0.787308720559429, 0.7984496738471744, 0.7969360751937147, 0.7792139069555296, 0.778197652461973, 0.7893278493333512, 0.7791551819130771, 0.8080449178012676, 0.7689119003784312, 0.7634770283806664]","[0.6193408775379163, 0.602571380920482, 0.6925508875052994, 0.5541561635505129, 0.5548092813132726, 0.671744465503909, 0.5761382677786839, 0.5733142150749944, 0.6564201687292599, 0.5674290170414287]"
Decision Tree,2769,"[0.7804257338139361, 0.8095448299553776, 0.7866266414924799, 0.7993646170396556, 0.771302209409208, 0.7739333466616239, 0.787803306086869, 0.778994546571889, 0.7602569785416299, 0.7676202386289311]","[0.5521752688941688, 0.6396520902225695, 0.6735215584833439, 0.6063681039889784, 0.6433729129823403, 0.6330489622067782, 0.6167161435318448, 0.6533295178961809, 0.699567748639539, 0.6571808940625061]"
