Classifier,y_true,y_pred
Naïve Bayes,1,0
Naïve Bayes,1,1
Naïve Bayes,0,0
Naïve Bayes,1,0
Naïve Bayes,0,0
Naïve Bayes,0,0
Naïve Bayes,0,0
Naïve Bayes,1,0
Naïve Bayes,0,1
Naïve Bayes,1,0
Naïve Bayes,0,0
Naïve Bayes,1,0
Naïve Bayes,1,0
Naïve Bayes,1,0
Naïve Bayes,0,0
Naïve Bayes,1,0
Naïve Bayes,0,0
Naïve Bayes,1,0
Naïve Bayes,1,0
Naïve Bayes,1,0
Naïve Bayes,0,0
Naïve Bayes,0,1
Naïve Bayes,0,0
Naïve Bayes,0,0
Naïve Bayes,0,0
Naïve Bayes,1,0
Naïve Bayes,0,0
Naïve Bayes,0,0
Naïve Bayes,1,1
Naïve Bayes,0,0
Naïve Bayes,1,0
Naïve Bayes,1,1
Naïve Bayes,0,0
Naïve Bayes,1,0
Naïve Bayes,1,0
Naïve Bayes,0,0
Naïve Bayes,0,1
Naïve Bayes,0,0
Naïve Bayes,0,0
Naïve Bayes,1,0
Naïve Bayes,0,0
Naïve Bayes,0,0
Naïve Bayes,0,0
Naïve Bayes,1,1
Naïve Bayes,1,0
Naïve Bayes,1,0
Naïve Bayes,0,0
Naïve Bayes,1,0
Naïve Bayes,1,1
Naïve Bayes,1,1
Naïve Bayes,1,0
Naïve Bayes,0,0
Naïve Bayes,1,1
Naïve Bayes,1,0
Naïve Bayes,0,0
Naïve Bayes,0,0
Naïve Bayes,0,0
Naïve Bayes,0,0
Naïve Bayes,1,0
Naïve Bayes,1,0
Naïve Bayes,1,0
Naïve Bayes,1,0
Naïve Bayes,0,0
Naïve Bayes,1,0
Naïve Bayes,0,0
Naïve Bayes,0,0
Naïve Bayes,1,0
Naïve Bayes,0,0
Naïve Bayes,0,0
Naïve Bayes,0,0
Naïve Bayes,0,0
Naïve Bayes,0,0
Naïve Bayes,0,0
Naïve Bayes,1,0
Naïve Bayes,0,0
Naïve Bayes,1,0
Naïve Bayes,1,0
Naïve Bayes,0,0
Naïve Bayes,0,0
Naïve Bayes,0,0
Naïve Bayes,0,0
Naïve Bayes,1,1
Naïve Bayes,1,0
Naïve Bayes,1,0
Naïve Bayes,0,0
Naïve Bayes,0,0
Naïve Bayes,1,0
Naïve Bayes,1,0
Naïve Bayes,0,0
Naïve Bayes,0,0
Naïve Bayes,1,0
Naïve Bayes,0,0
Naïve Bayes,1,0
Naïve Bayes,1,1
Naïve Bayes,1,1
Naïve Bayes,0,0
Naïve Bayes,1,0
Naïve Bayes,0,0
Naïve Bayes,0,0
Naïve Bayes,1,0
Naïve Bayes,0,0
Naïve Bayes,1,0
Naïve Bayes,1,0
Naïve Bayes,0,0
Naïve Bayes,0,0
Naïve Bayes,0,0
Naïve Bayes,1,0
Naïve Bayes,1,1
Naïve Bayes,1,0
Naïve Bayes,0,0
Naïve Bayes,1,0
Naïve Bayes,0,0
Naïve Bayes,0,0
Naïve Bayes,1,0
Naïve Bayes,0,0
Naïve Bayes,1,0
Naïve Bayes,0,0
Naïve Bayes,0,0
Naïve Bayes,1,0
Naïve Bayes,0,0
Naïve Bayes,1,0
Naïve Bayes,0,0
Naïve Bayes,0,0
Naïve Bayes,1,0
Naïve Bayes,1,0
Naïve Bayes,1,0
Naïve Bayes,0,0
Naïve Bayes,0,0
