sex,age,statebrn,placebrn,marstat,edyrs,occ,usyrl,usdurl,usdocl,usstatel,usplacel,usoccl,usbyl,ustrips,reltrip,paistrip,sport,social,chicanos,blacks,anglos,latinos,lodging,english,finhelp,bankacct,remit1,remit2,remit3,remit4,remit5,savings1,savings2,savings3,savings4,savings5,schools,unemp,foodst,welfare,doctor,hospital,uswagel_adj_2019,rent_adj_2019,food_adj_2019,remit_adj_2019,savings_adj_2019,savretrn_adj_2019,target
1,61.0,11,0,2,2,831,1947.0,4.0,8,144,7240,410,1,1.0,,2,2,2,2,2,1,1,3,0,4,2,8888,8888,8888,8888,8888,8,8888,8888,8888,8888,2,2,2,2,2,2,17.196659192825113,0.0,68.78663677130045,0.0,,,2
1,57.0,11,0,2,3,410,1957.0,6.0,2,105,4940,410,1,4.0,2,1,2,2,2,2,2,1,3,0,6,2,8888,8888,8888,8888,8888,,,,,,2,2,2,2,2,2,8.188302491103203,0.0,54.58868327402135,0.0,,,2
1,42.0,11,0,2,6,819,1960.0,12.0,8,105,,410,,1.0,2,1,2,2,2,2,2,2,2,0,4,2,,,,,,8,8888,8888,8888,8888,2,2,2,2,2,2,,,,,,,2
1,82.0,11,0,2,2,720,1960.0,3.0,2,105,4480,410,1,3.0,2,1,2,2,2,2,2,2,3,0,2,2,,,,,,3,8888,8888,8888,8888,2,2,2,2,2,2,34.54824324324324,0.0,0.0,112.28179054054054,,,2
1,51.0,11,0,4,3,522,1982.0,4.0,8,105,7485,410,1,4.0,2,1,2,2,2,2,2,1,3,0,6,2,11,8888,8888,8888,8888,,,,,,2,2,2,2,2,2,5.29859067357513,132.46476683937823,79.47886010362694,264.92953367875646,52.9859067357513,,2
1,39.0,11,0,2,9,549,1987.0,12.0,8,105,7320,410,1,2.0,2,1,2,2,,,2,,2,1,,2,11,8888,8888,8888,8888,12,8888,8888,8888,8888,,,,,,,13.503010563380283,22.505017605633807,135.03010563380283,225.05017605633805,45.01003521126761,225.05017605633805,2
1,59.0,11,0,2,2,720,1970.0,48.0,8,105,4480,410,,2.0,2,1,2,2,1,1,1,1,4,1,4,2,11,9,8888,8888,8888,9,8888,8888,8888,8888,2,1,2,2,1,2,,0.0,0.0,,0.0,32945.48969072165,2
1,56.0,11,0,2,3,410,1955.0,24.0,2,103,,410,1,1.0,2,1,2,2,1,1,1,1,3,1,3,2,7,8888,8888,8888,8888,7,8888,8888,8888,8888,2,2,2,2,1,1,8.585496268656717,0.0,0.0,286.18320895522385,953.9440298507462,6677.608208955224,2
1,64.0,11,20,2,3,410,1950.0,360.0,2,105,4480,410,,1.0,2,1,2,2,1,1,1,2,4,3,4,2,11,8888,8888,8888,8888,8888,8888,8888,8888,8888,2,1,2,2,2,2,,0.0,0.0,2121.6348547717844,0.0,0.0,2
1,26.0,11,20,2,3,522,1978.0,48.0,8,105,5945,410,,1.0,1,1,2,2,1,1,1,1,4,1,4,2,,,,,,,,,,,2,2,2,2,2,2,,0.0,0.0,,27.447837423312883,156.84478527607362,2
1,36.0,11,0,2,2,529,1986.0,8.0,8,105,4480,410,1,3.0,2,1,2,2,1,2,1,2,4,0,4,2,11,8888,8888,8888,8888,8,11,8888,8888,8888,2,2,2,2,2,2,11.080025091240877,0.0,279.91642335766426,466.5273722627738,0.0,699.7910583941607,2
1,35.0,11,0,2,12,719,1980.0,48.0,8,105,4480,526,,4.0,2,2,1,1,2,2,1,1,2,3,3,2,2,8888,8888,8888,8888,2,8888,8888,8888,8888,2,1,2,2,1,1,,930.7900485436893,930.7900485436893,620.5266990291262,310.2633495145631,6205.266990291262,2
1,79.0,11,0,2,0,529,1924.0,360.0,8,126,3760,549,1,1.0,2,2,2,2,1,1,1,1,,0,6,2,11,8888,8888,8888,8888,16,8888,8888,8888,8888,2,2,2,2,1,2,32.891543859649126,0.0,299.01403508771926,179.40842105263155,0.0,74753.50877192982,2
1,44.0,11,0,3,2,819,1968.0,156.0,1,105,4480,549,1,1.0,2,2,1,1,1,1,1,1,3,4,3,2,11,8888,8888,8888,8888,2,8888,8888,8888,8888,1,1,1,1,1,1,51.42525862068966,550.9849137931035,881.5758620689656,4407.879310344828,,9550.405172413795,2
1,41.0,11,0,2,6,419,1987.0,6.0,8,105,7320,810,,5.0,2,1,2,2,1,1,1,1,4,2,2,2,11,8888,8888,8888,8888,8,8888,8888,8888,8888,1,1,1,1,1,1,,,,168.78763204225353,,,1
1,63.0,11,0,2,0,529,1961.0,6.0,2,105,,410,,4.0,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,,,,,,,2
1,69.0,11,0,2,2,529,1962.0,14.0,2,144,,410,,6.0,2,2,2,2,2,2,2,1,3,0,3,2,11,8888,8888,8888,8888,11,8888,8888,8888,8888,2,2,2,2,2,2,,0.0,,,,,2
1,52.0,11,0,2,2,410,1985.0,6.0,5,129,6720,549,,3.0,1,2,2,2,1,1,1,1,4,2,4,2,2,8888,8888,8888,8888,5,8888,8888,8888,8888,2,2,2,2,1,1,,,,475.19888475836433,356.3991635687733,4751.988847583643,2
2,51.0,11,0,1,0,20,1982.0,24.0,8,129,6720,820,,1.0,2,2,2,2,2,1,1,1,4,3,4,2,2,8888,8888,8888,8888,2,8888,8888,8888,8888,1,2,2,2,1,1,,529.8590673575129,529.8590673575129,,529.8590673575129,5298.59067357513,2
1,57.0,11,0,2,2,410,1977.0,24.0,8,144,1240,410,1,4.0,2,1,2,2,1,1,1,1,2,0,,2,11,8888,8888,8888,8888,11,8888,8888,8888,8888,2,2,2,2,1,1,6.328143564356435,0.0,63.28143564356436,42.18762376237624,,122.34410891089108,2
1,43.0,11,20,2,3,529,1972.0,14.0,8,114,1600,549,,1.0,2,1,2,2,2,2,1,1,1,0,2,2,11,8888,8888,8888,8888,2,8888,8888,8888,8888,2,2,2,2,2,2,,,,305.80980861244024,,1529.049043062201,2
1,35.0,11,0,2,6,549,1978.0,60.0,8,114,1600,549,,2.0,2,2,2,2,2,2,2,1,2,3,4,2,8888,8888,8888,8888,8888,3,8888,8888,8888,8888,1,2,2,2,1,1,,392.11196319018404,156.84478527607362,0.0,392.11196319018404,,2
1,54.0,11,0,2,3,559,1950.0,6.0,2,114,1600,410,1,1.0,2,2,2,2,2,2,2,2,3,0,3,2,12,8888,8888,8888,8888,2,8888,8888,8888,8888,2,2,2,2,2,2,10.608174273858921,0.0,127.29809128630704,,212.16348547717843,10608.17427385892,2
1,39.0,11,0,2,2,522,1988.0,3.0,8,199,,410,,1.0,1,2,2,2,2,2,2,1,4,0,4,2,,,,,,,,,,,,,,,,,,,,,,,1
1,35.0,11,0,2,6,559,1980.0,12.0,8,105,7320,810,1,1.0,1,1,2,2,2,2,2,2,2,0,2,2,8,8888,8888,8888,8888,11,8888,8888,8888,8888,2,2,2,2,2,2,9.307900485436893,155.13167475728156,155.13167475728156,310.2633495145631,310.2633495145631,3102.633495145631,2
1,21.0,11,0,2,6,549,1987.0,15.0,8,138,,549,,1.0,1,1,2,2,2,2,1,1,4,1,4,2,11,8888,8888,8888,8888,,,,,,2,2,2,2,2,2,,,225.05017605633805,562.6254401408451,,,1
1,59.0,11,0,2,1,410,1969.0,3.0,8,199,,410,,1.0,1,1,2,2,2,1,1,1,3,0,3,2,12,8888,8888,8888,8888,2,8888,8888,8888,8888,2,2,2,2,2,2,,,,,,2089.8392370572205,2
1,40.0,11,0,2,2,410,1978.0,7.0,8,105,7320,410,,3.0,2,1,2,2,2,2,2,2,1,0,2,2,11,8888,8888,8888,8888,8,11,8888,8888,8888,2,2,2,2,2,2,,392.11196319018404,588.1679447852761,,0.0,2352.6717791411043,2
1,40.0,11,0,2,3,410,1976.0,48.0,8,105,2840,810,1,1.0,2,1,2,1,2,2,2,2,3,0,6,2,16,8888,8888,8888,8888,12,8,8888,8888,8888,2,2,2,2,2,2,10.691974907063198,237.59944237918216,190.07955390334575,712.7983271375466,237.59944237918216,1069.1974907063197,2
1,23.0,11,20,2,0,522,1985.0,9.0,8,136,,410,1,1.0,2,1,2,2,1,2,1,2,4,1,4,1,11,8888,8888,8888,8888,8,11,8888,8888,8888,2,2,2,2,2,2,7.045333168316831,527.3452970297029,632.8143564356436,843.7524752475248,232.0319306930693,8437.524752475247,2
1,37.0,11,0,2,4,529,1977.0,36.0,8,105,,410,1,2.0,2,1,2,2,2,2,2,1,4,1,4,2,11,8888,8888,8888,8888,6,9,8888,8888,8888,2,1,1,2,1,1,1.9726620370370371,0.0,0.0,,0.0,631.2518518518519,2
1,77.0,11,0,4,0,410,1966.0,6.0,8,144,,410,1,2.0,2,1,2,2,1,2,2,2,3,0,3,2,11,8888,8888,8888,8888,8,11,8888,8888,8888,2,2,2,2,2,2,,,,187.98308823529413,,1879.8308823529412,2
1,63.0,11,0,2,3,410,1956.0,1.0,8,144,,410,,2.0,2,2,2,2,2,1,1,1,2,0,1,2,2,8888,8888,8888,8888,5,8888,8888,8888,8888,2,2,2,2,2,2,,,315.62592592592597,789.0648148148149,789.0648148148149,3945.3240740740744,2
1,43.0,11,0,2,3,410,1966.0,24.0,8,105,4480,410,,1.0,1,1,2,2,1,1,1,1,3,0,3,2,11,8888,8888,8888,8888,2,8888,8888,8888,8888,1,2,2,2,2,2,,,,349.89552919708035,,2332.636861313869,2
1,34.0,11,0,2,6,410,1986.0,6.0,8,105,4480,410,,2.0,1,1,2,2,2,2,1,1,4,1,4,2,4,8888,8888,8888,8888,9,8888,8888,8888,8888,2,2,2,2,1,1,,,,,,3294.548969072165,2
1,51.0,11,0,2,0,410,1970.0,3.0,8,105,7400,410,,1.0,2,1,2,1,1,1,1,1,3,0,3,2,5,8888,8888,8888,8888,8,8888,8888,8888,8888,2,2,2,2,2,2,,,,,,,2
1,63.0,11,0,2,3,410,1986.0,3.0,5,105,4480,,,1.0,1,2,2,2,2,1,1,1,4,0,4,2,,,,,,,,,,,,,,,,,8.909979089219332,237.59944237918216,71.27983271375466,0.0,71.27983271375466,475.19888475836433,2
1,26.0,11,0,2,6,810,1985.0,12.0,8,105,7485,810,1,1.0,1,1,2,2,1,2,1,1,4,3,4,2,8888,8888,8888,8888,8888,9,8888,8888,8888,8888,2,2,2,2,,2,,0.0,,,,,2
1,59.0,11,0,2,0,410,1950.0,2.0,2,114,1600,549,,1.0,2,1,2,2,1,1,1,1,3,0,3,2,,,,,,,,,,,2,2,2,2,2,2,19.767293814432993,,,329.45489690721655,,,2
1,37.0,11,0,2,2,719,1970.0,12.0,8,105,8735,549,1,1.0,2,1,2,2,1,2,2,1,1,0,2,2,11,8888,8888,8888,8888,,,,,,2,2,2,2,2,2,,843.7524752475248,1125.003300330033,,,1406.2541254125413,2
1,45.0,11,0,2,1,410,1981.0,24.0,8,144,7777,410,,3.0,2,1,2,2,2,2,2,1,4,0,4,2,3,8888,8888,8888,8888,3,8888,8888,8888,8888,2,2,1,2,1,1,13.246476683937825,0.0,21.19436269430052,132.46476683937823,,,2
1,74.0,11,0,2,0,410,1982.0,4.0,8,105,,410,1,3.0,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,,,,,,,2
1,59.0,11,25,2,0,549,1977.0,6.0,8,106,2080,410,,2.0,2,1,2,2,2,2,2,2,3,0,6,2,,,,,,8,8888,8888,8888,8888,2,2,2,2,2,2,,,,,,,2
1,73.0,11,0,2,0,719,1954.0,12.0,2,105,,410,,1.0,2,1,2,2,2,2,2,2,3,0,2,2,,,,,,9,8888,8888,8888,8888,2,2,2,2,2,2,,,,,,,2
1,54.0,11,25,2,4,524,1953.0,1.0,2,144,,410,,1.0,2,2,2,2,2,2,2,2,3,0,2,2,,,,,,11,8888,8888,8888,8888,2,2,2,2,2,2,,,,,,,2
1,37.0,11,25,2,5,50,1975.0,96.0,1,105,6780,410,,2.0,1,1,2,2,2,2,2,2,2,0,6,2,,,,,,,,,,,,,,,,,14.085785123966945,140.85785123966943,281.71570247933886,1056.4338842975208,0.0,1408.5785123966944,2
1,61.0,11,0,2,2,410,1979.0,96.0,8,129,6720,810,1,7.0,2,1,2,2,2,2,2,2,2,1,4,2,11,8888,8888,8888,8888,11,8888,8888,8888,8888,2,2,2,2,1,2,,,,,,,1
1,64.0,11,0,2,0,549,1945.0,6.0,8,105,,410,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1,39.0,11,0,2,2,522,1986.0,24.0,8,105,4480,549,,2.0,2,1,2,2,1,2,2,2,1,0,1,2,,,,,,11,8888,8888,8888,8888,2,2,2,2,2,2,,,,233.2636861313869,,,1
1,57.0,11,0,2,3,529,1986.0,12.0,8,105,,410,,2.0,2,1,2,2,1,2,2,2,1,0,2,2,8,11,8888,8888,8888,3,11,8888,8888,8888,2,2,2,2,2,2,6.966130790190736,,,348.3065395095368,,4876.291553133515,2
1,49.0,11,0,2,4,410,1969.0,72.0,8,105,8735,410,1,2.0,2,1,2,2,2,2,2,2,3,1,3,2,11,8888,8888,8888,8888,11,8888,8888,8888,8888,2,2,2,2,1,2,11.252508802816903,900.2007042253522,900.2007042253522,,,,2
1,31.0,11,0,2,6,549,1987.0,18.0,1,129,6720,549,1,6.0,1,1,2,2,1,1,1,1,4,3,2,2,,,,,,,,,,,1,2,2,2,1,1,8.983930722891568,1026.7349397590363,1283.4186746987953,,,,1
1,33.0,11,0,2,0,810,1983.0,66.0,8,129,6720,810,1,2.0,1,1,2,2,1,2,1,1,1,3,,1,,,,,,,,,,,1,2,2,2,1,1,11.072728585178055,,,246.06063522617902,246.06063522617902,,1
1,39.0,11,0,2,3,410,1984.0,54.0,1,129,6720,410,1,2.0,1,1,2,2,1,1,1,1,3,2,2,2,11,8888,8888,8888,8888,,,,,,1,1,1,1,1,1,24.257883663366336,1687.5049504950496,1265.6287128712872,,,,1
1,31.0,11,0,2,6,810,1977.0,138.0,1,129,6720,810,1,2.0,1,1,2,2,1,2,1,1,4,3,4,1,,,,,,,,,,,1,1,2,2,1,1,15.343742180896028,648.3271344040576,432.218089602705,,648.3271344040576,,1
1,26.0,11,20,2,6,549,1988.0,6.0,1,129,6720,549,1,2.0,1,1,2,2,1,2,1,1,2,3,2,2,,,,,,,,,,,1,2,2,2,1,1,10.265179628064244,226.91449704142013,,432.218089602705,,2161.090448013525,1
1,37.0,11,0,2,4,810,1988.0,6.0,1,129,6720,810,1,3.0,2,1,2,2,1,2,2,1,4,1,4,2,11,3,8888,8888,8888,11,8888,8888,8888,8888,2,2,2,2,1,1,9.724907016060863,151.27633136094676,216.1090448013525,648.3271344040576,432.218089602705,2161.090448013525,1
1,18.0,11,0,1,6,810,1988.0,6.0,1,105,2840,410,1,3.0,1,1,1,,1,2,1,1,4,2,4,2,11,8,8888,8888,8888,2,8888,8888,8888,8888,2,2,2,2,2,2,11.87997211895911,190.07955390334575,237.59944237918216,237.59944237918216,712.7983271375466,,1
1,20.0,11,0,1,9,810,1985.0,42.0,8,129,6720,819,1,1.0,1,1,1,2,1,2,2,1,4,2,4,2,11,8888,8888,8888,8888,,,,,,2,2,2,2,1,1,15.745298813868615,163.28458029197083,104.9686587591241,1399.5821167883214,2332.636861313869,,1
1,20.0,11,0,1,6,549,1986.0,30.0,1,129,6720,549,1,2.0,1,1,1,2,1,1,1,1,4,3,4,2,2,11,8888,8888,8888,,,,,,2,2,2,2,1,2,19.017430214723923,1568.4478527607362,1176.3358895705521,,,,1
